FlightDate,airport,ArrDelay,DepDelay,Cancelled,Diverted,period
2000-01-12,MCO,-4.0,-9.0,False,False,other
2000-01-13,MCO,-10.0,-7.0,False,False,other
2000-01-14,MCO,17.0,-6.0,False,False,other
2000-01-15,MCO,-6.0,-6.0,False,False,other
2000-01-16,MCO,-13.0,-6.0,False,False,other
2000-01-17,MCO,-3.0,-5.0,False,False,other
2000-01-18,MCO,-5.0,-3.0,False,False,other
2000-01-19,MCO,1.0,-3.0,False,False,other
2000-01-20,MCO,4.0,-1.0,False,False,other
2000-01-21,MCO,20.0,-3.0,False,False,other
2000-01-22,MCO,7.0,-3.0,False,False,other
2000-01-23,MCO,-15.0,-3.0,False,False,other
2000-01-24,MCO,-3.0,9.0,False,False,other
2000-01-25,MCO,-1.0,4.0,False,False,other
2000-01-26,MCO,13.0,1.0,False,False,other
2000-01-27,MCO,3.0,-4.0,False,False,other
2000-01-28,MCO,,,True,False,other
2000-01-29,MCO,21.0,26.0,False,False,other
2000-01-30,MCO,-10.0,-5.0,False,False,other
2000-01-31,MCO,8.0,21.0,False,False,other
2000-01-01,MCO,23.0,25.0,False,False,other
2000-01-02,MCO,5.0,1.0,False,False,other
2000-01-03,MCO,6.0,-2.0,False,False,other
2000-01-04,MCO,18.0,36.0,False,False,other
2000-01-05,MCO,17.0,19.0,False,False,other
2000-01-06,MCO,5.0,-5.0,False,False,other
2000-01-07,MCO,-8.0,-7.0,False,False,other
2000-01-08,MCO,-2.0,1.0,False,False,other
2000-01-09,MCO,1.0,11.0,False,False,other
2000-01-10,MCO,-6.0,-2.0,False,False,other
2000-01-11,MCO,-3.0,-5.0,False,False,other
2000-01-12,MCO,-3.0,-2.0,False,False,other
2000-01-13,MCO,33.0,29.0,False,False,other
2000-01-14,MCO,10.0,6.0,False,False,other
2000-01-15,MCO,4.0,3.0,False,False,other
2000-01-16,MCO,-3.0,-3.0,False,False,other
2000-01-17,MCO,-3.0,-4.0,False,False,other
2000-01-18,MCO,5.0,-2.0,False,False,other
2000-01-19,MCO,1.0,1.0,False,False,other
2000-01-20,MCO,17.0,10.0,False,False,other
2000-01-21,MCO,17.0,4.0,False,False,other
2000-01-22,MCO,92.0,93.0,False,False,other
2000-01-23,MCO,-6.0,6.0,False,False,other
2000-01-24,MCO,10.0,15.0,False,False,other
2000-01-25,MCO,110.0,109.0,False,False,other
2000-01-26,MCO,105.0,106.0,False,False,other
